startup_name,tagline,detail_url,category,list_page,name_clean,name_clean_v2
Spark Cleantech,Decarbonized Hydrogen,https://www.frenchcleantech.com/company/categories/energy-generation/profile/spark-cleantech-decarbonized-hydrogen.html,energy-generation,1,SPARK CLEANTECH,SPARK CLEANTECH
BeFC,Bioenzymatic Fuel Cells,https://www.frenchcleantech.com/company/categories/energy-generation/profile/befc-bioenzymatic-fuel-cells.html,energy-generation,1,BEFC,BEFC
Sakowin,Green H2 production,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sakowin-green-h2-production.html,energy-generation,1,SAKOWIN,SAKOWIN
Newheat,Renewable thermal energy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/newheat-renewable-thermal-energy.html,energy-generation,1,NEWHEAT,NEWHEAT
Sweetch Energy,Breakthrough osmotic technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sweetch-breakthrough-osmotic-technology.html,energy-generation,1,SWEETCH ENERGY,SWEETCH ENERGY
Lhyfe,Green hydrogen producer,https://www.frenchcleantech.com/company/categories/energy-generation/profile/lhyfe-green-hydrogen-producer.html,energy-generation,2,LHYFE,LHYFE
Saurea,Autonomous solar motor,https://www.frenchcleantech.com/company/categories/energy-generation/profile/saurea-autonomous-solar-motor.html,energy-generation,2,SAUREA,SAUREA
Hysilabs,the alternative hydrogen supply,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hysilabs-the-alternative-hydrogen-supply.html,energy-generation,2,HYSILABS,HYSILABS
Comwatt,Manufacturer for self consumption boxes,https://www.frenchcleantech.com/company/categories/energy-generation/profile/comwatt-manufacturer-for-self-consumption-boxes.html,energy-generation,2,COMWATT,COMWATT
Waga Energy,Innovative wasted gas energy recovery,https://www.frenchcleantech.com/company/categories/energy-generation/profile/waga-energy.html,energy-generation,2,WAGA ENERGY,WAGA ENERGY
